Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1978","1978","°C","-0.454","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1979","1979","°C","-2.298","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1980","1980","°C","0.538","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1981","1981","°C","2.944","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1982","1982","°C","-1.683","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1983","1983","°C","1.416","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1984","1984","°C","-0.07","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1985","1985","°C","0.271","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1986","1986","°C","2.615","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1987","1987","°C","1.538","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1988","1988","°C","-0.162","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1989","1989","°C","0.803","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1990","1990","°C","2.81","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1991","1991","°C","0.229","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1992","1992","°C","2.206","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1993","1993","°C","0.621","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1994","1994","°C","0.367","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1995","1995","°C","1.828","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1996","1996","°C","-0.282","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1997","1997","°C","0.047","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1998","1998","°C","2.3","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","1999","1999","°C","1.375","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2000","2000","°C","1.541","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2001","2001","°C","2.062","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2002","2002","°C","2.798","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2003","2003","°C","2.185","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2004","2004","°C","0.122","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2005","2005","°C","2.186","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2006","2006","°C","3.558","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2007","2007","°C","1.189","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2008","2008","°C","0.223","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2009","2009","°C","0.445","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2010","2010","°C","0.537","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2011","2011","°C","0.637","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2012","2012","°C","1.566","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2013","2013","°C","2.093","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2014","2014","°C","1.979","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2015","2015","°C","2.062","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2016","2016","°C","2.718","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2017","2017","°C","2.173","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2018","2018","°C","1.647","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2019","2019","°C","1.91","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7001","January","2020","2020","°C","1.965","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1961","1961","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1962","1962","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1963","1963","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1964","1964","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1965","1965","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1966","1966","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1967","1967","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1968","1968","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1969","1969","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1970","1970","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1971","1971","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1972","1972","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1973","1973","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1974","1974","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1975","1975","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1976","1976","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1977","1977","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1978","1978","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1979","1979","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1980","1980","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1981","1981","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1982","1982","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1983","1983","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1984","1984","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1985","1985","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1986","1986","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1987","1987","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1988","1988","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1989","1989","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1990","1990","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1991","1991","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1992","1992","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1993","1993","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1994","1994","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1995","1995","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1996","1996","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1997","1997","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1998","1998","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","1999","1999","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2000","2000","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2001","2001","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2002","2002","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2003","2003","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2004","2004","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2005","2005","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2006","2006","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2007","2007","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2008","2008","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2009","2009","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2010","2010","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2011","2011","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2012","2012","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2013","2013","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2014","2014","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2015","2015","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2016","2016","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2017","2017","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2018","2018","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2019","2019","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7001","January","2020","2020","°C","1.059","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1961","1961","°C","1.222","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1962","1962","°C","1.429","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1963","1963","°C","0.582","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1964","1964","°C","-1.024","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1965","1965","°C","-1.286","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1966","1966","°C","-0.966","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1967","1967","°C","-0.363","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1968","1968","°C","-0.556","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1969","1969","°C","-0.438","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1970","1970","°C","1.472","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1971","1971","°C","-0.512","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1972","1972","°C","-0.613","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1973","1973","°C","0.083","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1974","1974","°C","-0.652","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1975","1975","°C","-0.625","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1976","1976","°C","1.743","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1977","1977","°C","2.039","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1978","1978","°C","-1.956","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1979","1979","°C","-3.513","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1980","1980","°C","0.431","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1981","1981","°C","1.794","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1982","1982","°C","-0.278","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1983","1983","°C","1.735","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1984","1984","°C","0.634","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1985","1985","°C","-1.579","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1986","1986","°C","1.537","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1987","1987","°C","1.955","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1988","1988","°C","0.419","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1989","1989","°C","-0.807","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1990","1990","°C","-0.095","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1991","1991","°C","2.693","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1992","1992","°C","2.235","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1993","1993","°C","-0.435","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1994","1994","°C","-0.783","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1995","1995","°C","1.933","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1996","1996","°C","0.857","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1997","1997","°C","2.054","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1998","1998","°C","2.782","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","1999","1999","°C","1.791","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2000","2000","°C","3.749","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2001","2001","°C","1.188","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2002","2002","°C","1.601","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2003","2003","°C","0.663","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2004","2004","°C","0.506","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2005","2005","°C","2.189","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2006","2006","°C","1.271","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2007","2007","°C","-0.399","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2008","2008","°C","0.187","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2009","2009","°C","1.364","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2010","2010","°C","-0.191","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2011","2011","°C","-0.05","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2012","2012","°C","2.45","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2013","2013","°C","0.68","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2014","2014","°C","-0.307","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2015","2015","°C","0.408","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2016","2016","°C","3.828","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2017","2017","°C","3.554","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2018","2018","°C","1.798","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2019","2019","°C","0.401","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7002","February","2020","2020","°C","0.869","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1961","1961","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1962","1962","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1963","1963","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1964","1964","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1965","1965","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1966","1966","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1967","1967","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1968","1968","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1969","1969","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1970","1970","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1971","1971","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1972","1972","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1973","1973","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1974","1974","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1975","1975","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1976","1976","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1977","1977","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1978","1978","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1979","1979","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1980","1980","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1981","1981","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1982","1982","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1983","1983","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1984","1984","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1985","1985","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1986","1986","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1987","1987","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1988","1988","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1989","1989","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1990","1990","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1991","1991","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1992","1992","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1993","1993","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1994","1994","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1995","1995","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1996","1996","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1997","1997","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1998","1998","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","1999","1999","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2000","2000","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2001","2001","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2002","2002","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2003","2003","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2004","2004","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2005","2005","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2006","2006","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2007","2007","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2008","2008","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2009","2009","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2010","2010","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2011","2011","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2012","2012","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2013","2013","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2014","2014","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2015","2015","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2016","2016","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2017","2017","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2018","2018","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2019","2019","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","6078","Standard Deviation","7002","February","2020","2020","°C","1.338","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7003","March","1961","1961","°C","0.663","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7003","March","1962","1962","°C","-1.08","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7003","March","1963","1963","°C","1.4","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7003","March","1964","1964","°C","-1.375","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7003","March","1965","1965","°C","-1.027","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7003","March","1966","1966","°C","0.217","Fc","Calculated data"
"ET","Temperature change","231","United States of America","7271","Temperature change","7003","March","1967","1967","°C","1.744","Fc","Calculated data"
